England,FIFA World Cup
England,FIFA World Cup qualification
England,Finalissima
England,Four Nations Tournament
England,Friendly
England,Mundialito
England,Peace Queen Cup
England,SheBelieves Cup
England,UEFA Euro
England,UEFA Euro qualification
England,UEFA Nations League
England,Yongchuan International Tournament
Equatorial Guinea,African Championship
Equatorial Guinea,African Championship qualification
Equatorial Guinea,African Cup of Nations
Equatorial Guinea,African Cup of Nations qualification
Equatorial Guinea,CAF Olympic Qualifying Tournament
Equatorial Guinea,FIFA World Cup
Equatorial Guinea,Turkish Women's Cup
Equatorial Guinea,UNIFFAC Cup
Eritrea,African Championship qualification
Eritrea,African Cup of Nations qualification
Estonia,Aphrodite Cup
Estonia,Baltic Cup
Estonia,FIFA World Cup qualification
Estonia,Friendly
Estonia,Turkish Women's Cup
Estonia,UEFA Euro qualification
Estonia,UEFA Nations League
Eswatini,African Championship qualification
Eswatini,African Cup of Nations qualification
Eswatini,COSAFA Championship
Ethiopia,African Championship
Ethiopia,African Championship qualification
Ethiopia,African Cup of Nations qualification
Ethiopia,African Games
Ethiopia,CAF Olympic Qualifying Tournament
Ethiopia,CECAFA Championship
Ethiopia,Friendly
FR Yugoslavia,FIFA World Cup qualification
FR Yugoslavia,UEFA Euro qualification
Faroe Islands,Algarve Cup
Faroe Islands,Baltic Cup
Faroe Islands,FIFA World Cup qualification
Faroe Islands,Friendly
Faroe Islands,Island Games
Faroe Islands,UEFA Euro qualification
Faroe Islands,UEFA Nations League
Faroe Islands,VisitMalta Women's Trophy
Fiji,Friendly
Fiji,OFC Nations Cup
Fiji,OFC Nations Cup qualification
Fiji,OFC Olympic Qualifying Tournament
Fiji,Pacific Games
Finland,Algarve Cup
Finland,Cyprus Cup
Finland,FIFA World Cup qualification
Finland,Four Nations Tournament
Finland,Friendly
Finland,Nordic Championship
Finland,Pinatar Cup
Finland,Tournoi de France
Finland,U.S. Cup
Finland,UEFA Euro
Finland,UEFA Euro qualification
Finland,UEFA Nations League
Finland,Yongchuan International Tournament
France,Algarve Cup
France,Australian Cup
France,Cyprus Cup
France,FIFA World Cup
France,FIFA World Cup qualification
France,Four Nations Tournament
France,Friendly
France,Mundialito
France,Olympic Games
France,SheBelieves Cup
France,Tournoi de France
France,UEFA Euro
France,UEFA Euro qualification
France,UEFA Nations League
Froya,Island Games
Gabon,African Championship qualification
Gabon,African Cup of Nations qualification
Gabon,CAF Olympic Qualifying Tournament
Gabon,UNIFFAC Cup
Gambia,African Cup of Nations qualification
Gambia,WAFU Zone A Cup
Georgia,FIFA World Cup qualification
Georgia,Friendly
Georgia,UEFA Euro qualification
Georgia,UEFA Nations League
Germany,Algarve Cup
